Word 1	Word 2	Human (mean)
energy	secretary	1.81
secretary	senate	5.06
energy	laboratory	5.09
computer	laboratory	6.78
weapon	secret	6.06
FBI	fingerprint	6.94
FBI	investigation	8.31
investigation	effort	4.59
Mars	water	2.94
Mars	scientist	5.63
news	report	8.16
canyon	landscape	7.53
image	surface	4.56
discovery	space	6.34
water	seepage	6.56
sign	recess	2.38
Wednesday	news	2.22
mile	kilometer	8.66
computer	news	4.47
territory	surface	5.34
atmosphere	landscape	3.69
president	medal	3
war	troops	8.13
record	number	6.31
skin	eye	6.22
Japanese	American	6.5
theater	history	3.91
volunteer	motto	2.56
prejudice	recognition	3
decoration	valor	5.63
century	year	7.59
century	nation	3.16
delay	racism	1.19
delay	news	3.31
minister	party	6.63
peace	plan	4.75
minority	peace	3.69
attempt	peace	4.25
government	crisis	6.56
deployment	departure	4.25
deployment	withdrawal	5.88
energy	crisis	5.94
announcement	news	7.56
announcement	effort	2.75
stroke	hospital	7.03
disability	death	5.47
victim	emergency	6.47
treatment	recovery	7.91
journal	association	4.97
doctor	personnel	5
doctor	liability	5.19
liability	insurance	7.03
school	center	3.44
reason	hypertension	2.31
reason	criterion	5.91
hundred	percent	7.38
Harvard	Yale	8.13
hospital	infrastructure	4.63
death	row	5.25
death	inmate	5.03
lawyer	evidence	6.69
life	death	7.88
life	term	4.5
word	similarity	4.75
board	recommendation	4.47
governor	interview	3.25
OPEC	country	5.63
peace	atmosphere	3.69
peace	insurance	2.94
territory	kilometer	5.28
travel	activity	5
competition	price	6.44
consumer	confidence	4.13
consumer	energy	4.75
problem	airport	2.38
car	flight	4.94
credit	card	8.06
credit	information	5.31
hotel	reservation	8.03
grocery	money	5.94
registration	arrangement	6
arrangement	accommodation	5.41
month	hotel	1.81
type	kind	8.97
arrival	hotel	6
bed	closet	6.72
closet	clothes	8
situation	conclusion	4.81
situation	isolation	3.88
impartiality	interest	5.16
direction	combination	2.25
street	place	6.44
street	avenue	8.88
street	block	6.88
street	children	4.94
listing	proximity	2.56
listing	category	6.38
cell	phone	7.81
production	hike	1.75
benchmark	index	4.25
media	trading	3.88
media	gain	2.88
dividend	payment	7.63
dividend	calculation	6.48
calculation	computation	8.44
currency	market	7.5
OPEC	oil	8.59
oil	stock	6.34
announcement	production	3.38
announcement	warning	6
profit	warning	3.88
profit	loss	7.63
dollar	yen	7.78
dollar	buck	9.22
dollar	profit	7.38
dollar	loss	6.09
computer	software	8.5
network	hardware	8.31
phone	equipment	7.13
equipment	maker	5.91
luxury	car	6.47
five	month	3.38
report	gain	3.63
investor	earning	7.13
liquid	water	7.89
baseball	season	5.97
game	victory	7.03
game	team	7.69
marathon	sprint	7.47
game	series	6.19
game	defeat	6.97
seven	series	3.56
seafood	sea	7.47
seafood	food	8.34
seafood	lobster	8.7
lobster	food	7.81
lobster	wine	5.7
food	preparation	6.22
video	archive	6.34
start	year	4.06
start	match	4.47
game	round	5.97
boxing	round	7.61
championship	tournament	8.36
fighting	defeating	7.41
line	insurance	2.69
day	summer	3.94
summer	drought	7.16
summer	nature	5.63
day	dawn	7.53
nature	environment	8.31
environment	ecology	8.81
nature	man	6.25
man	woman	8.3
man	governor	5.25
murder	manslaughter	8.53
soap	opera	7.94
opera	performance	6.88
life	lesson	5.94
focus	life	4.06
production	crew	6.25
television	film	7.72
lover	quarrel	6.19
viewer	serial	2.97
possibility	girl	1.94
population	development	3.75
morality	importance	3.31
morality	marriage	3.69
Mexico	Brazil	7.44
gender	equality	6.41
change	attitude	5.44
family	planning	6.25
opera	industry	2.63
sugar	approach	0.88
practice	institution	3.19
ministry	culture	4.69
problem	challenge	6.75
size	prominence	5.31
country	citizen	7.31
planet	people	5.75
development	issue	3.97
experience	music	3.47
music	project	3.63
glass	metal	5.56
aluminum	metal	7.83
chance	credibility	3.88
exhibit	memorabilia	5.31
concert	virtuoso	6.81
rock	jazz	7.59
museum	theater	7.19
observation	architecture	4.38
space	world	6.53
preservation	world	6.19
admission	ticket	7.69
shower	thunderstorm	6.31
shower	flood	6.03
weather	forecast	8.34
disaster	area	6.25
governor	office	6.34
architecture	century	3.78
